	e100	e101	e102	e103	e104	e105	e106	e107	e108	e109	e110	e111	e112	e64	e65	e66	e67	e68	e69	e70	e71	e72	e73	e74	e75	e76	e77	e78	e79	e80	e81	e82	e83	e84	e85	e86	e87	e88	e89	e90	e91	e92	e93	e94	e95	e96	e97	e98	e99
e88	0.947	0.96275	0.9505	0.93475	0.97175	0.9515	0.93825	0.977	0.967	0.973	0.9605	0.97575	0.9615	0.553	0.55825	0.772	0.73675	0.82475	0.72975	0.7445	0.7165	0.585	0.795	0.754	0.77625	0.768	0.741	0.64325	0.784	0.57375	0.9005	0.788	0.7685	0.65475	0.763	0.74975	0.74575	0.0	0.832	0.8305	0.67325	0.61625	0.69575	0.75325	0.78125	0.797	0.6465	0.88875	0.9345
e89	0.89125	0.90375	0.8865	0.966	0.9205	0.9195	0.9445	0.9395	0.953	0.94775	0.91275	0.93225	0.94125	0.83375	0.899	0.6775	0.56925	0.5515	0.60075	0.79575	0.7685	0.82675	0.7485	0.74225	0.7635	0.70975	0.656	0.77	0.634	0.7285	0.6905	0.555	0.66475	0.774	0.551	0.66275	0.55075	0.832	0.0	0.561	0.65725	0.72075	0.55375	0.6075	0.6255	0.53525	0.5745	0.9035	0.92525
e90	0.937	0.942	0.9265	0.97125	0.93225	0.92075	0.9405	0.9565	0.954	0.94725	0.93225	0.93225	0.93625	0.807	0.859	0.68975	0.63275	0.49325	0.4995	0.73875	0.68675	0.751	0.743	0.69175	0.70525	0.743	0.61275	0.74925	0.5725	0.64775	0.80925	0.55625	0.58975	0.8165	0.56625	0.56875	0.49475	0.8305	0.561	0.0	0.6695	0.735	0.5735	0.5215	0.67525	0.5195	0.62	0.938	0.947
e91	0.934	0.929	0.9225	0.9505	0.91475	0.897	0.90475	0.936	0.93075	0.936	0.90375	0.92275	0.9225	0.72175	0.79425	0.6755	0.6685	0.67425	0.675	0.69775	0.6645	0.704	0.717	0.6785	0.69975	0.712	0.6495	0.631	0.6195	0.644	0.7915	0.6275	0.6225	0.70425	0.69225	0.649	0.638	0.67325	0.65725	0.6695	0.0	0.727	0.674	0.62325	0.674	0.67575	0.5995	0.883	0.934
e92	0.93675	0.957	0.9475	0.96875	0.98025	0.96925	0.9545	0.98525	0.98375	0.9845	0.97225	0.98225	0.97725	0.6385	0.6305	0.749	0.7035	0.691	0.7175	0.5535	0.551	0.5205	0.6505	0.546	0.68475	0.7265	0.681	0.769	0.6715	0.6865	0.73575	0.6575	0.67075	0.51325	0.6555	0.62675	0.65575	0.61625	0.72075	0.735	0.727	0.0	0.65025	0.785	0.64325	0.64075	0.66375	0.92525	0.9405
e93	0.9175	0.9245	0.904	0.95225	0.94175	0.921	0.931	0.9505	0.95325	0.95525	0.9315	0.9395	0.93775	0.6575	0.768	0.6385	0.5225	0.51425	0.4775	0.68825	0.64825	0.649	0.68575	0.6605	0.65	0.65875	0.555	0.61825	0.607	0.57925	0.74725	0.51425	0.5975	0.75625	0.5285	0.564	0.56325	0.69575	0.55375	0.5735	0.674	0.65025	0.0	0.565	0.6365	0.49775	0.46925	0.92175	0.92925
e94	0.94625	0.953	0.9345	0.97525	0.9105	0.88725	0.902	0.9445	0.92725	0.91725	0.90125	0.8975	0.91	0.84325	0.90375	0.74375	0.69125	0.6275	0.59425	0.8375	0.78825	0.816	0.834	0.8	0.82225	0.7895	0.67175	0.735	0.65875	0.6735	0.8345	0.5925	0.58225	0.8085	0.59575	0.6165	0.552	0.75325	0.6075	0.5215	0.62325	0.785	0.565	0.0	0.743	0.62425	0.591	0.94425	0.95675
e95	0.8965	0.91775	0.897	0.93525	0.94225	0.93	0.92925	0.95525	0.95675	0.95925	0.93425	0.95075	0.9415	0.7195	0.785	0.67175	0.6265	0.5925	0.6745	0.6595	0.6265	0.68575	0.626	0.62275	0.62875	0.63975	0.6295	0.72	0.54	0.673	0.613	0.538	0.59275	0.68675	0.574	0.575	0.6355	0.78125	0.6255	0.67525	0.674	0.64325	0.6365	0.743	0.0	0.5165	0.61225	0.894	0.903
e96	0.89025	0.8935	0.88075	0.9485	0.91875	0.90875	0.9395	0.93775	0.948	0.941	0.91475	0.92625	0.93025	0.74	0.8475	0.61625	0.53525	0.47775	0.502	0.66325	0.6425	0.69525	0.64125	0.65925	0.62675	0.6525	0.5465	0.69475	0.52575	0.62	0.66025	0.453	0.5675	0.72825	0.51775	0.5265	0.5655	0.797	0.53525	0.5195	0.67575	0.64075	0.49775	0.62425	0.5165	0.0	0.49375	0.917	0.90775
e97	0.87525	0.89625	0.8575	0.9095	0.91875	0.906	0.9115	0.93875	0.93625	0.9435	0.8985	0.926	0.9185	0.659	0.7255	0.61275	0.55075	0.607	0.5565	0.65375	0.6415	0.663	0.6595	0.659	0.67275	0.64125	0.57625	0.5475	0.596	0.56125	0.73875	0.5295	0.59825	0.64975	0.5545	0.55725	0.57225	0.6465	0.5745	0.62	0.5995	0.66375	0.46925	0.591	0.61225	0.49375	0.0	0.87025	0.88625
e98	0.61125	0.656	0.60675	0.734	0.87825	0.8805	0.9495	0.84025	0.947	0.96075	0.8705	0.9465	0.919	0.86025	0.86175	0.875	0.89325	0.91375	0.952	0.87325	0.89025	0.89025	0.868	0.8825	0.89425	0.8575	0.8895	0.8145	0.90075	0.89075	0.89675	0.8995	0.9265	0.85225	0.90075	0.9125	0.92875	0.88875	0.9035	0.938	0.883	0.92525	0.92175	0.94425	0.894	0.917	0.87025	0.0	0.594
e99	0.527	0.6295	0.554	0.77275	0.88575	0.881	0.95475	0.82875	0.94025	0.95775	0.87125	0.94425	0.9155	0.91575	0.9245	0.8835	0.90925	0.91425	0.95575	0.89625	0.919	0.9225	0.8635	0.89425	0.9025	0.86625	0.896	0.85925	0.918	0.90875	0.88625	0.89875	0.95025	0.899	0.91525	0.9205	0.94225	0.9345	0.92525	0.947	0.934	0.9405	0.92925	0.95675	0.903	0.90775	0.88625	0.594	0.0
